electricity_pricing,1,2,3
0.7018493,0,0,0
0.6965916,0,0,0
0.6918704,0,0,0
0.6365036,0,0,0
0.6013092,0,0,0
0.5754499,0,0,0
0.5550629,0,0,0
0.5518439,0,0,0
0.5255554,0,0,0
0.581566,0,0,0
0.6324262,0,0,0
0.6422978,0,0,0
0.6450876,0,0,0
0.6657965,0,0,0
0.6659038,0,0,0
0.6412248,0,0,0
0.6564614,0,0,0
0.6946602,0,0,0
0.7968098,0,0,0
0.7965952,0,0,0
0.8116172,0,0,0
0.7931616,0,0,0
0.7567869,0,0,0
0.6881149,0,0,0
0.6869346,0,0,0
0.6272758,0,0,0
0.586931,0,0,0
0.5891843,0,0,0
0.5694411,0,0,0
0.5818879,0,0,0
0.6247006,0,0,0
0.7248115,0,0,0
0.7546409,0,0,0
0.7646198,0,0,0
0.8139778,0,0,0
0.7902645,0,0,0
0.7960587,0,0,0
0.7673023,0,0,0
0.7622592,0,0,0
0.7644052,0,0,0
0.7579672,0,0,0
0.7816805,0,0,0
0.8857615,0,0,0
0.8941309,0,0,0
0.8930579,0,0,0
0.8483138,0,0,0
0.817626,0,0,0
0.7698775,0,0,0
0.7169786,0,0,0
0.6797455,0,0,0
0.6308167,0,0,0
0.6163312,0,0,0
0.5932617,0,0,0
0.6032406,0,0,0
0.6237349,0,0,0
0.6659038,0,0,0
0.7227728,0,0,0
0.7426233,0,0,0
0.7548555,0,0,0
0.7379021,0,0,0
0.7384386,0,0,0
0.7321079,0,0,0
0.7293181,0,0,0
0.6734148,0,0,0
0.6655819,0,0,0
0.7155837,0,0,0
0.767195,0,0,0
0.7740622,0,0,0
0.7773885,0,0,0
0.7817878,0,0,0
0.752173,0,0,0
0.7255626,0,0,0
0.5925106,0,0,0
0.5422942,0,0,0
0.5223364,0,0,0
0.5152546,0,0,0
0.5049538,0,0,0
0.5020567,0,0,0
0.5110699,0,0,0
0.5090312,0,0,0
0.5455132,0,0,0
0.5884332,0,0,0
0.6432635,0,0,0
0.6368255,0,0,0
0.6119319,0,0,0
0.6354306,0,0,0
0.6283488,0,0,0
0.5587111,0,0,0
0.5595695,0,0,0
0.6558176,0,0,0
0.7723454,0,0,0
0.8008872,0,0,0
0.8088274,0,0,0
0.8207377,0,0,0
0.7921959,0,0,0
0.7458423,0,0,0
0.7593621,0,0,0
0.6962697,0,0,0
0.6535643,0,0,0
0.6403664,0,0,0
0.6227692,0,0,0
0.6391861,0,0,0
0.7482029,0,0,0
0.7829681,0,0,0
0.8360816,0,0,0
0.8540007,0,0,0
0.8771775,0,0,0
0.8671986,0,0,0
0.8491722,0,0,0
0.7934835,0,0,0
0.7718089,0,0,0
0.767195,0,0,0
0.7709505,0,0,0
0.8640869,0,0,0
0.9558284,0,0,0
0.9761081,0,0,0
0.9497123,0,0,0
0.8889805,0,0,0
0.8639796,0,0,0
0.7744914,0,0,0
0.7669804,0,0,0
0.6948748,0,0,0
0.6461606,0,0,0
0.6131122,0,0,0
0.5787762,0,0,0
0.5733039,0,0,0
0.6081764,0,0,0
0.6812477,0,0,0
0.7162275,0,0,0
0.7840411,0,0,0
0.8471335,0,0,0
0.8145143,0,0,0
0.7845776,0,0,0
0.7298546,0,0,0
0.7153691,0,0,0
0.6983084,0,0,0
0.709253,0,0,0
0.77256,0,0,0
0.843378,0,0,0
0.8710614,0,0,0
0.8761045,0,0,0
0.8436999,0,0,0
0.785436,0,0,0
0.7774958,0,0,0
0.7214852,0,0,0
0.6885441,0,0,0
0.6665476,0,0,0
0.6664403,0,0,0
0.6443365,0,0,0
0.6704104,0,0,0
0.7512073,0,0,0
0.806896,0,0,0
0.893809,0,0,0
0.9993922,0,0,0
1.0778285,0,0,0
1.0211741,0,0,0
0.9145179,0,0,0
0.874495,0,0,0
0.8293217,0,0,0
0.8220253,0,0,0
0.8278195,0,0,0
0.8531423,0,0,0
0.9769665,0,0,0
1.0224617,0,0,0
0.9791125,0,0,0
0.9343684,0,0,0
0.8385495,0,0,0
0.8055011,0,0,0
0.7911229,0,0,0
0.7617227,0,0,0
0.732859,0,0,0
0.6890806,0,0,0
0.6816769,0,0,0
0.715691,0,0,0
0.7488467,0,0,0
0.8108661,0,0,0
0.8837228,0,0,0
0.9338319,0,0,0
0.9772884,0,0,0
0.9580817,0,0,0
0.9168785,0,0,0
0.8619409,0,0,0
0.8297509,0,0,0
0.8265319,0,0,0
0.8385495,0,0,0
0.8635504,0,0,0
0.9750351,0,0,0
1.0098003,0,0,0
0.9684898,0,0,0
0.9084018,0,0,0
0.8267465,0,0,0
0.7847922,0,0,0
0.726421,0,0,0
0.6550665,0,0,0
0.6396153,0,0,0
0.6293145,0,0,0
0.626632,0,0,0
0.6413321,0,0,0
0.7337174,0,0,0
0.810115,0,0,0
0.8763191,0,0,0
0.920634,0,0,0
0.98716,0,0,0
0.9620518,0,0,0
0.917415,0,0,0
0.8714906,0,0,0
0.8270684,0,0,0
0.8297509,0,0,0
0.8593657,0,0,0
0.8759972,0,0,0
0.9497123,0,0,0
0.95497,0,0,0
0.9346903,0,0,0
0.8812549,0,0,0
0.8411247,0,0,0
0.7743841,0,0,0
0.663114,0,0,0
0.6380058,0,0,0
0.6005581,0,0,0
0.5904719,0,0,0
0.5851069,0,0,0
0.5948712,0,0,0
0.6139706,0,0,0
0.6850032,0,0,0
0.766122,0,0,0
0.7994923,0,0,0
0.8267465,0,0,0
0.8100077,0,0,0
0.7964879,0,0,0
0.79402,0,0,0
0.7817878,0,0,0
0.7476664,0,0,0
0.7335028,0,0,0
0.7700921,0,0,0
0.8321115,0,0,0
0.8441291,0,0,0
0.8418758,0,0,0
0.838013,0,0,0
0.7616154,0,0,0
0.6667622,0,0,0
0.6475555,0,0,0
0.5899354,0,0,0
0.5725528,0,0,0
0.5646126,0,0,0
0.5275941,0,0,0
0.5147181,0,0,0
0.526843,0,0,0
0.5355343,0,0,0
0.5529169,0,0,0
0.5994851,0,0,0
0.5988413,0,0,0
0.586931,0,0,0
0.5675097,0,0,0
0.5856434,0,0,0
0.5882186,0,0,0
0.5588184,0,0,0
0.5584965,0,0,0
0.5964807,0,0,0
0.832648,0,0,0
0.8622628,0,0,0
0.8829717,0,0,0
0.8849031,0,0,0
0.8375838,0,0,0
0.7524949,0,0,0
0.6524913,0,0,0
0.6252371,0,0,0
0.5756645,0,0,0
0.5574235,0,0,0
0.551522,0,0,0
0.5679389,0,0,0
0.630924,0,0,0
0.7566796,0,0,0
0.8124756,0,0,0
0.8790016,0,0,0
0.9188099,0,0,0
0.9309348,0,0,0
0.8882294,0,0,0
0.822991,0,0,0
0.7977755,0,0,0
0.789728,0,0,0
0.8019602,0,0,0
0.8191282,0,0,0
0.9037879,0,0,0
0.9412356,0,0,0
0.9285742,0,0,0
0.872349,0,0,0
0.7410138,0,0,0
0.6698739,0,0,0
0.5966953,0,0,0
0.5637542,0,0,0
0.5469081,0,0,0
0.5318861,0,0,0
0.5229802,0,0,0
0.5317788,0,0,0
0.5789908,0,0,0
0.7069997,0,0,0
0.7936981,0,0,0
0.8396225,0,0,0
0.8953112,0,0,0
0.8770702,0,0,0
0.8393006,0,0,0
0.7959514,0,0,0
0.7451985,0,0,0
0.7465934,0,0,0
0.7829681,0,0,0
0.8110807,0,0,0
0.9255698,0,0,0
0.9503561,0,0,0
0.9369436,0,0,0
0.8667694,0,0,0
0.8306093,0,0,0
0.71891,0,0,0
0.6462679,0,0,0
0.5868237,0,0,0
0.5781324,0,0,0
0.5707287,0,0,0
0.5640761,0,0,0
0.6130049,0,0,0
0.7517438,0,0,0
0.8211669,0,0,0
0.9009981,0,0,0
0.9897352,0,0,0
1.0510035,0,0,0
1.0141996,0,0,0
0.9261063,0,0,0
0.8574343,0,0,0
0.8161238,0,0,0
0.8116172,0,0,0
0.8271757,0,0,0
0.8543226,0,0,0
0.9448838,0,0,0
0.9522875,0,0,0
0.9325443,0,0,0
0.8574343,0,0,0
0.7522803,0,0,0
0.6359671,0,0,0
0.5272722,0,0,0
0.4869274,0,0,0
0.4686864,0,0,0
0.4559177,0,0,0
0.436711,0,0,0
0.4450804,0,0,0
0.4961552,0,0,0
0.6080691,0,0,0
0.750027,0,0,0
0.8178406,0,0,0
