,Load,PV,Diswasher,Dryer,Heat_pump,Water_heater,Washing_machine,Dehumidifier,Temp_in,Temp_out,Pressure_out,Humidity_in,Humidity_out,RTP
01-01-2019 00:00,0.68375,0,0,0,0.042517667,0.0011905,0,0.5013085,20.2,6.4,975,45.7,85,0.2227548
01-01-2019 01:00,0.686,0,0,0,0.043478,0.001213167,0,0.5060505,20.2,6.3,975,48.2,85,0.2040846
01-01-2019 02:00,0.5545,0,0,0,0.044948167,0.001213,0,0.367875667,20,6,975,49.6,85,0.192067
01-01-2019 03:00,0.159833333,0,0,0,0.045142333,0.001222833,0,0,20,6,976,50.2,85,0.2240424
01-01-2019 04:00,0.164083333,0,0,0,0.046271,0.001243,0,0,19.9,6,974,51.2,84.2,0.2020459
01-01-2019 05:00,0.16075,0,0,0,0.053240667,0.001222333,0,0,19.9,5.8,973,52,84.8,0.169534
01-01-2019 06:00,0.178833333,0,0,0,0.057638167,0.001236167,0,0,20.2,5.7,973,51.1,85,0.200651
01-01-2019 07:00,0.17925,0,0,0,0.051646333,0.001233833,0,0,20.4,5.6,974,51,85,0.2142781
01-01-2019 08:00,0.169166667,0,0,0,0.047411667,0.0012295,0,0,20.4,5.6,973,51,85,0.2350943
01-01-2019 09:00,0.235666667,0.024166667,0,0,0.047510167,0.001247167,0,0,20.5,5.8,974,51.7,84,0.1912086
01-01-2019 10:00,0.332,0.233,0,0,0.051858667,0.002442333,0,0,20.7,6.2,974,52.6,78.9,0.1569799
01-01-2019 11:00,0.786,0.227916667,0,0,0.054912667,0.003683333,0,0,20.5,6.2,974,51.6,77.6,0.1576237
01-01-2019 12:00,0.802416667,0.5765,0,0,0.048464,0.009687,0,0.121698833,20.8,6.5,973,52.8,75.6,0.15022
01-01-2019 13:00,1.642333333,0.287833333,0,0,0.046415167,0.004382833,0,0.372393667,20.9,6.8,973,52.9,73.4,0.1517222
01-01-2019 14:00,0.51175,0.354833333,0,0,0.044650833,0.008827333,0,0,21,7.2,973,53,72.6,0.1898137
01-01-2019 15:00,0.560166667,0.128083333,0,0,0.044877667,0.0012425,0,0,20.9,6.8,973,53.8,72.9,0.1890626
01-01-2019 16:00,0.468833333,0.00025,0,0,0.0496025,0.0012175,0,0,20.9,6.5,973,54,74.6,0.1823027
01-01-2019 17:00,0.525,0,0,0,0.0504165,0.001209167,0,0,20.8,6.5,973,54,75.6,0.2216818
01-01-2019 18:00,1.604583333,0,0,0,0.049527,0.001198333,0,0,20.8,6.2,973,53.4,76,0.302586
01-01-2019 19:00,0.992583333,0,0.454181833,0,0.0491575,0.001199,0,0,21,6,973,53,74.8,0.3473301
01-01-2019 20:00,0.731666667,0,0.179983,0,0.049493167,0.001208333,0,0,21.1,6,973,53,73.6,0.3260847
01-01-2019 21:00,0.570583333,0,0.254915167,0,0.0488145,0.001226667,0,0,21,5.9,974,52,73,0.345506
01-01-2019 22:00,0.799583333,0,0.008264167,0,0.038462,0.001150167,0,0.443017167,20.7,5.9,973,53.2,70.7,0.353017
01-01-2019 23:00,0.805666667,0,0.001677167,0,0.044466667,0.001165833,0,0.491853667,20.4,5.6,973,54,73.8,0.2891735
02-01-2019 00:00,0.6865,0,0,0,0.046342667,0.001182833,0,0.4986105,20.3,5.7,973,53.8,75.8,0.3156766
02-01-2019 01:00,0.682916667,0,0,0,0.0483035,0.001209667,0,0.506817333,20.2,5.5,972,53,76.9,0.2530134
02-01-2019 02:00,0.310666667,0,0,0,0.0488145,0.001215,0,0.119507167,20.1,5.5,972,53,75.6,0.2168533
02-01-2019 03:00,0.158666667,0,0,0,0.049750667,0.001225167,0,0,20.1,5.3,972,53,75.8,0.1993634
02-01-2019 04:00,0.175,0,0,0,0.0507815,0.001229167,0,0,20.1,4.7,972,53,79,0.190994
02-01-2019 05:00,0.163166667,0,0,0,0.0506495,0.001221333,0,0,20,3.8,972,53,82.4,0.2362746
02-01-2019 06:00,0.18025,0,0,0,0.054522333,0.001246167,0,0,20.4,3.7,973,52.2,81.2,0.3756573
02-01-2019 07:00,0.17875,0,0,0,0.049569167,0.001236,0,0,20.5,3.6,974,52,79.8,0.5434745
02-01-2019 08:00,0.171583333,0,0,0,0.046259,0.0012405,0,0,20.6,3.4,974,52,77.7,0.6288853
02-01-2019 09:00,0.188583333,0.117583333,0,0,0.046732333,0.001225833,0,0,20.6,3.6,975,52.8,71.8,0.6162239
02-01-2019 10:00,0.36975,0.35525,0,0,0.0505885,0.002367167,0,0,20.8,4.3,975,54,68.8,0.6471263
02-01-2019 11:00,0.602833333,0.341833333,0,0,0.054865667,0.002653333,0,0,20.8,4.4,975,53.4,62.8,0.6274904
02-01-2019 12:00,1.171,0.379333333,0,0,0.048466667,0.005932333,0,0,21,4.7,975,52.8,57.5,0.6124684
02-01-2019 13:00,0.792083333,0.640083333,0,0,0.0461495,0.013369833,0,0,21.1,5.1,974,53.4,53.3,0.6044209
02-01-2019 14:00,0.590833333,0.43025,0,0,0.045602667,0.008517,0,0,21.2,4.8,974,54,52.8,0.6066742
02-01-2019 15:00,0.652083333,0.102166667,0,0,0.047756,0.001221167,0,0,21.4,4.2,975,53.3,54.8,0.5915449
02-01-2019 16:00,0.54425,0.02275,0,0,0.049886833,0.001207667,0,0,21.4,3.7,975,53,57,0.5862872
